Warehouse,Location,Type,Pick Priority,Pickable,Sellable,Transfer bin
VP North,1-A-04-F-02,Pallite_48,0,,Yes,
VP North,1-A-04-F-03,Pallite_48,0,,Yes,
VP North,1-A-04-F-04,Pallite_48,0,,Yes,
VP North,1-A-04-G-01,Pallite_48,0,,Yes,
VP North,1-A-04-G-02,Pallite_48,0,,Yes,
VP North,1-A-04-G-03,Pallite_48,0,,Yes,
VP North,1-A-04-G-04,Pallite_48,0,,Yes,
VP North,1-A-05-A-01,Pallite_16,0,,Yes,
VP North,1-A-05-A-02,Pallite_16,0,,Yes,
VP North,1-A-05-A-03,Pallite_16,0,,Yes,
VP North,1-A-05-A-04,Pallite_16,0,,Yes,
VP North,1-A-05-B-01,Pallite_16,0,,Yes,
VP North,1-A-05-B-02,Pallite_16,0,,Yes,
VP North,1-A-05-B-03,Pallite_16,0,,Yes,
VP North,1-A-05-B-04,Pallite_16,0,,Yes,
VP North,1-A-05-C-01,Pallite_16,0,,Yes,
VP North,1-A-05-C-02,Pallite_16,0,,Yes,
VP North,1-A-05-C-03,Pallite_16,0,,Yes,
VP North,1-A-05-C-04,Pallite_16,0,,Yes,
VP North,1-A-05-D-01,Pallite_16,0,,Yes,
VP North,1-A-05-D-02,Pallite_16,0,,Yes,
VP North,1-A-05-D-03,Pallite_16,0,,Yes,
VP North,1-A-05-D-04,Pallite_16,0,,Yes,
VP North,1-A-05-E-01,Pallite_16,0,,Yes,
VP North,1-A-05-E-02,Pallite_16,0,,Yes,
VP North,1-A-05-E-03,Pallite_16,0,,Yes,
VP North,1-A-05-E-04,Pallite_16,0,,Yes,
VP North,1-A-05-F-01,Pallite_16,0,,Yes,
VP North,1-A-05-F-02,Pallite_16,0,,Yes,
VP North,1-A-05-F-03,Pallite_16,0,,Yes,
VP North,1-A-05-F-04,Pallite_16,0,,Yes,
VP North,1-A-05-G-01,Pallite_16,0,,Yes,
VP North,1-A-05-G-02,Pallite_16,0,,Yes,
VP North,1-A-05-G-03,Pallite_16,0,,Yes,
VP North,1-A-05-G-04,Pallite_16,0,,Yes,
VP North,1-A-06-A-01,Pallite_48,0,,Yes,
VP North,1-A-06-A-02,Pallite_48,0,,Yes,
VP North,1-A-06-A-03,Pallite_48,0,,Yes,
VP North,1-A-06-A-04,Pallite_48,0,,Yes,
VP North,1-A-06-B-01,Pallite_48,0,,Yes,
VP North,1-A-06-B-02,Pallite_48,0,,Yes,
VP North,1-A-06-B-03,Pallite_48,0,,Yes,
VP North,1-A-06-B-04,Pallite_48,0,,Yes,
VP North,1-A-06-C-01,Pallite_48,0,,Yes,
VP North,1-A-06-C-02,Pallite_48,0,,Yes,
VP North,1-A-06-C-03,Pallite_48,0,,Yes,
VP North,1-A-06-C-04,Pallite_48,0,,Yes,
VP North,1-A-06-D-01,Pallite_48,0,,Yes,
VP North,1-A-06-D-02,Pallite_48,0,,Yes,
VP North,1-A-06-D-03,Pallite_48,0,,Yes,
VP North,1-A-06-D-04,Pallite_48,0,,Yes,
VP North,1-A-06-E-01,Pallite_48,0,,Yes,
VP North,1-A-06-E-02,Pallite_48,0,,Yes,
VP North,1-A-06-E-03,Pallite_48,0,,Yes,
VP North,1-A-06-E-04,Pallite_48,0,,Yes,
VP North,1-A-06-F-01,Pallite_48,0,,Yes,
VP North,1-A-06-F-02,Pallite_48,0,,Yes,
VP North,1-A-06-F-03,Pallite_48,0,,Yes,
VP North,1-A-06-F-04,Pallite_48,0,,Yes,
VP North,1-A-06-G-01,Pallite_48,0,,Yes,
VP North,1-A-06-G-02,Pallite_48,0,,Yes,
VP North,1-A-06-G-03,Pallite_48,0,,Yes,
VP North,1-A-06-G-04,Pallite_48,0,,Yes,
VP North,1-A-07-A-01,Pallite_16,0,,Yes,
VP North,1-A-07-A-02,Pallite_16,0,,Yes,
VP North,1-A-07-A-03,Pallite_16,0,,Yes,
VP North,1-A-07-A-04,Pallite_16,0,,Yes,
VP North,1-A-07-B-01,Pallite_16,0,,Yes,
VP North,1-A-07-B-02,Pallite_16,0,,Yes,
VP North,1-A-07-B-03,Pallite_16,0,,Yes,
VP North,1-A-07-B-04,Pallite_16,0,,Yes,
VP North,1-A-07-C-01,Pallite_16,0,,Yes,
VP North,1-A-07-C-02,Pallite_16,0,,Yes,
VP North,1-A-07-C-03,Pallite_16,0,,Yes,
VP North,1-A-07-C-04,Pallite_16,0,,Yes,
VP North,1-A-07-D-01,Pallite_16,0,,Yes,
VP North,1-A-07-D-02,Pallite_16,0,,Yes,
VP North,1-A-07-D-03,Pallite_16,0,,Yes,
VP North,1-A-07-D-04,Pallite_16,0,,Yes,
VP North,1-A-07-E-01,Pallite_16,0,,Yes,
VP North,1-A-07-E-02,Pallite_16,0,,Yes,
VP North,1-A-07-E-03,Pallite_16,0,,Yes,
VP North,1-A-07-E-04,Pallite_16,0,,Yes,
VP North,1-A-07-F-01,Pallite_16,0,,Yes,
VP North,1-A-07-F-02,Pallite_16,0,,Yes,
VP North,1-A-07-F-03,Pallite_16,0,,Yes,
VP North,1-A-07-F-04,Pallite_16,0,,Yes,
VP North,1-A-07-G-01,Pallite_16,0,,Yes,
VP North,1-A-07-G-02,Pallite_16,0,,Yes,
VP North,1-A-07-G-03,Pallite_16,0,,Yes,
VP North,1-A-07-G-04,Pallite_16,0,,Yes,
VP North,1-A-08-A-01,Pallite_48,0,,Yes,
VP North,1-A-08-A-02,Pallite_48,0,,Yes,
VP North,1-A-08-A-03,Pallite_48,0,,Yes,
VP North,1-A-08-A-04,Pallite_48,0,,Yes,
VP North,1-A-08-B-01,Pallite_48,0,,Yes,
VP North,1-A-08-B-02,Pallite_48,0,,Yes,
VP North,1-A-08-B-03,Pallite_48,0,,Yes,
VP North,1-A-08-B-04,Pallite_48,0,,Yes,
VP North,1-A-08-C-01,Pallite_48,0,,Yes,
VP North,1-A-08-C-02,Pallite_48,0,,Yes,
VP North,1-A-08-C-03,Pallite_48,0,,Yes,
VP North,1-A-08-C-04,Pallite_48,0,,Yes,
VP North,1-A-08-D-01,Pallite_48,0,,Yes,
VP North,1-A-08-D-02,Pallite_48,0,,Yes,
VP North,1-A-08-D-03,Pallite_48,0,,Yes,
VP North,1-A-08-D-04,Pallite_48,0,,Yes,
VP North,1-A-08-E-01,Pallite_48,0,,Yes,
VP North,1-A-08-E-02,Pallite_48,0,,Yes,
VP North,1-A-08-E-03,Pallite_48,0,,Yes,
VP North,1-A-08-E-04,Pallite_48,0,,Yes,
VP North,1-A-08-F-01,Pallite_48,0,,Yes,
VP North,1-A-08-F-02,Pallite_48,0,,Yes,
VP North,1-A-08-F-03,Pallite_48,0,,Yes,
VP North,1-A-08-F-04,Pallite_48,0,,Yes,
VP North,1-A-08-G-01,Pallite_48,0,,Yes,
VP North,1-A-08-G-02,Pallite_48,0,,Yes,
VP North,1-A-08-G-03,Pallite_48,0,,Yes,
VP North,1-A-08-G-04,Pallite_48,0,,Yes,
VP North,1-A-09-A-01,Pallite_16,0,,Yes,
VP North,1-A-09-A-02,Pallite_16,0,,Yes,
VP North,1-A-09-A-03,Pallite_16,0,,Yes,
VP North,1-A-09-A-04,Pallite_16,0,,Yes,
VP North,1-A-09-B-01,Pallite_16,0,,Yes,
VP North,1-A-09-B-02,Pallite_16,0,,Yes,
VP North,1-A-09-B-03,Pallite_16,0,,Yes,
VP North,1-A-09-B-04,Pallite_16,0,,Yes,
VP North,1-A-09-C-01,Pallite_16,0,,Yes,
VP North,1-A-09-C-02,Pallite_16,0,,Yes,
VP North,1-A-09-C-03,Pallite_16,0,,Yes,
VP North,1-A-09-C-04,Pallite_16,0,,Yes,
VP North,1-A-09-D-01,Pallite_16,0,,Yes,
VP North,1-A-09-D-02,Pallite_16,0,,Yes,
VP North,1-A-09-D-03,Pallite_16,0,,Yes,
VP North,1-A-09-D-04,Pallite_16,0,,Yes,
VP North,1-A-09-E-01,Pallite_16,0,,Yes,
VP North,1-A-09-E-02,Pallite_16,0,,Yes,
VP North,1-A-09-E-03,Pallite_16,0,,Yes,
VP North,1-A-09-E-04,Pallite_16,0,,Yes,
VP North,1-A-09-F-01,Pallite_16,0,,Yes,
VP North,1-A-09-F-02,Pallite_16,0,,Yes,
VP North,1-A-09-F-03,Pallite_16,0,,Yes,
VP North,1-A-09-F-04,Pallite_16,0,,Yes,
VP North,1-A-09-G-01,Pallite_16,0,,Yes,
VP North,1-A-09-G-02,Pallite_16,0,,Yes,
VP North,1-A-09-G-03,Pallite_16,0,,Yes,
VP North,1-A-09-G-04,Pallite_16,0,,Yes,
VP North,1-A-10-A-01,Pallite_48,0,,Yes,
VP North,1-A-10-A-02,Pallite_48,0,,Yes,
VP North,1-A-10-A-03,Pallite_48,0,,Yes,
VP North,1-A-10-A-04,Pallite_48,0,,Yes,
VP North,1-A-10-B-01,Pallite_48,0,,Yes,
VP North,1-A-10-B-02,Pallite_48,0,,Yes,
VP North,1-A-10-B-03,Pallite_48,0,,Yes,
VP North,1-A-10-B-04,Pallite_48,0,,Yes,
VP North,1-A-10-C-01,Pallite_48,0,,Yes,
VP North,1-A-10-C-02,Pallite_48,0,,Yes,
VP North,1-A-10-C-03,Pallite_48,0,,Yes,
VP North,1-A-10-C-04,Pallite_48,0,,Yes,
VP North,1-A-10-D-01,Pallite_48,0,,Yes,
VP North,1-A-10-D-02,Pallite_48,0,,Yes,
VP North,1-A-10-D-03,Pallite_48,0,,Yes,
VP North,1-A-10-D-04,Pallite_48,0,,Yes,
VP North,1-A-10-E-01,Pallite_48,0,,Yes,
VP North,1-A-10-E-02,Pallite_48,0,,Yes,
VP North,1-A-10-E-03,Pallite_48,0,,Yes,
VP North,1-A-10-E-04,Pallite_48,0,,Yes,
VP North,1-A-10-F-01,Pallite_48,0,,Yes,
VP North,1-A-10-F-02,Pallite_48,0,,Yes,
VP North,1-A-10-F-03,Pallite_48,0,,Yes,
VP North,1-A-10-F-04,Pallite_48,0,,Yes,
VP North,1-A-10-G-01,Pallite_48,0,,Yes,
VP North,1-A-10-G-02,Pallite_48,0,,Yes,
VP North,1-A-10-G-03,Pallite_48,0,,Yes,
VP North,1-A-10-G-04,Pallite_48,0,,Yes,
VP North,1-A-11-A-01,Pallite_16,0,,Yes,
VP North,1-A-11-A-02,Pallite_16,0,,Yes,
VP North,1-A-11-A-03,Pallite_16,0,,Yes,
VP North,1-A-11-A-04,Pallite_16,0,,Yes,
VP North,1-A-11-B-01,Pallite_16,0,,Yes,
VP North,1-A-11-B-02,Pallite_16,0,,Yes,
VP North,1-A-11-B-03,Pallite_16,0,,Yes,
VP North,1-A-11-B-04,Pallite_16,0,,Yes,
VP North,1-A-11-C-01,Pallite_16,0,,Yes,
VP North,1-A-11-C-02,Pallite_16,0,,Yes,
VP North,1-A-11-C-03,Pallite_16,0,,Yes,
VP North,1-A-11-C-04,Pallite_16,0,,Yes,
VP North,1-A-11-D-01,Pallite_16,0,,Yes,
VP North,1-A-11-D-02,Pallite_16,0,,Yes,
VP North,1-A-11-D-03,Pallite_16,0,,Yes,
VP North,1-A-11-D-04,Pallite_16,0,,Yes,
VP North,1-A-11-E-01,Pallite_16,0,,Yes,
VP North,1-A-11-E-02,Pallite_16,0,,Yes,
VP North,1-A-11-E-03,Pallite_16,0,,Yes,
VP North,1-A-11-E-04,Pallite_16,0,,Yes,
VP North,1-A-11-F-01,Pallite_16,0,,Yes,
VP North,1-A-11-F-02,Pallite_16,0,,Yes,
VP North,1-A-11-F-03,Pallite_16,0,,Yes,
VP North,1-A-11-F-04,Pallite_16,0,,Yes,
VP North,1-A-11-G-01,Pallite_16,0,,Yes,
VP North,1-A-11-G-02,Pallite_16,0,,Yes,
VP North,1-A-11-G-03,Pallite_16,0,,Yes,
VP North,1-A-11-G-04,Pallite_16,0,,Yes,
VP North,1-A-12-A-01,Pallite_48,0,,Yes,
VP North,1-A-12-A-02,Pallite_48,0,,Yes,
VP North,1-A-12-A-03,Pallite_48,0,,Yes,
VP North,1-A-12-A-04,Pallite_48,0,,Yes,
VP North,1-A-12-B-01,Pallite_48,0,,Yes,
VP North,1-A-12-B-02,Pallite_48,0,,Yes,
VP North,1-A-12-B-03,Pallite_48,0,,Yes,
VP North,1-A-12-B-04,Pallite_48,0,,Yes,
VP North,1-A-12-C-01,Pallite_48,0,,Yes,
VP North,1-A-12-C-02,Pallite_48,0,,Yes,
VP North,1-A-12-C-03,Pallite_48,0,,Yes,
VP North,1-A-12-C-04,Pallite_48,0,,Yes,
VP North,1-A-12-D-01,Pallite_48,0,,Yes,
VP North,1-A-12-D-02,Pallite_48,0,,Yes,
VP North,1-A-12-D-03,Pallite_48,0,,Yes,
VP North,1-A-12-D-04,Pallite_48,0,,Yes,
VP North,1-A-12-E-01,Pallite_48,0,,Yes,
VP North,1-A-12-E-02,Pallite_48,0,,Yes,
VP North,1-A-12-E-03,Pallite_48,0,,Yes,
VP North,1-A-12-E-04,Pallite_48,0,,Yes,
VP North,1-A-12-F-01,Pallite_48,0,,Yes,
VP North,1-A-12-F-02,Pallite_48,0,,Yes,
VP North,1-A-12-F-03,Pallite_48,0,,Yes,
VP North,1-A-12-F-04,Pallite_48,0,,Yes,
VP North,1-A-12-G-01,Pallite_48,0,,Yes,
VP North,1-A-12-G-02,Pallite_48,0,,Yes,
VP North,1-A-12-G-03,Pallite_48,0,,Yes,
VP North,1-A-12-G-04,Pallite_48,0,,Yes,
VP North,1-A-13-A-01,Pallite_16,0,,Yes,
VP North,1-A-13-A-02,Pallite_16,0,,Yes,
VP North,1-A-13-A-03,Pallite_16,0,,Yes,
VP North,1-A-13-A-04,Pallite_16,0,,Yes,
VP North,1-A-13-B-01,Pallite_16,0,,Yes,
VP North,1-A-13-B-02,Pallite_16,0,,Yes,
VP North,1-A-13-B-03,Pallite_16,0,,Yes,
VP North,1-A-13-B-04,Pallite_16,0,,Yes,
VP North,1-A-13-C-01,Pallite_16,0,,Yes,
VP North,1-A-13-C-02,Pallite_16,0,,Yes,
VP North,1-A-13-C-03,Pallite_16,0,,Yes,
VP North,1-A-13-C-04,Pallite_16,0,,Yes,
VP North,1-A-13-D-01,Pallite_16,0,,Yes,
VP North,1-A-13-D-02,Pallite_16,0,,Yes,
VP North,1-A-13-D-03,Pallite_16,0,,Yes,
VP North,1-A-13-D-04,Pallite_16,0,,Yes,
VP North,1-A-13-E-01,Pallite_16,0,,Yes,
VP North,1-A-13-E-02,Pallite_16,0,,Yes,
VP North,1-A-13-E-03,Pallite_16,0,,Yes,
VP North,1-A-13-E-04,Pallite_16,0,,Yes,
VP North,1-A-13-F-01,Pallite_16,0,,Yes,
VP North,1-A-13-F-02,Pallite_16,0,,Yes,
VP North,1-A-13-F-03,Pallite_16,0,,Yes,
VP North,1-A-13-F-04,Pallite_16,0,,Yes,
VP North,1-A-13-G-01,Pallite_16,0,,Yes,
VP North,1-A-13-G-02,Pallite_16,0,,Yes,
VP North,1-A-13-G-03,Pallite_16,0,,Yes,
VP North,1-A-13-G-04,Pallite_16,0,,Yes,
VP North,1-A-14-A-01,Pallite_48,0,,Yes,
VP North,1-A-14-A-02,Pallite_48,0,,Yes,
VP North,1-A-14-A-03,Pallite_48,0,,Yes,
VP North,1-A-14-A-04,Pallite_48,0,,Yes,
VP North,1-A-14-B-01,Pallite_48,0,,Yes,
VP North,1-A-14-B-02,Pallite_48,0,,Yes,
VP North,1-A-14-B-03,Pallite_48,0,,Yes,
VP North,1-A-14-B-04,Pallite_48,0,,Yes,
VP North,1-A-14-C-01,Pallite_48,0,,Yes,
VP North,1-A-14-C-02,Pallite_48,0,,Yes,
VP North,1-A-14-C-03,Pallite_48,0,,Yes,
VP North,1-A-14-C-04,Pallite_48,0,,Yes,
VP North,1-A-14-D-01,Pallite_48,0,,Yes,
VP North,1-A-14-D-02,Pallite_48,0,,Yes,
VP North,1-A-14-D-03,Pallite_48,0,,Yes,
VP North,1-A-14-D-04,Pallite_48,0,,Yes,
VP North,1-A-14-E-01,Pallite_48,0,,Yes,
VP North,1-A-14-E-02,Pallite_48,0,,Yes,
VP North,1-A-14-E-03,Pallite_48,0,,Yes,
VP North,1-A-14-E-04,Pallite_48,0,,Yes,
VP North,1-A-14-F-01,Pallite_48,0,,Yes,
VP North,1-A-14-F-02,Pallite_48,0,,Yes,
VP North,1-A-14-F-03,Pallite_48,0,,Yes,
VP North,1-A-14-F-04,Pallite_48,0,,Yes,
VP North,1-A-14-G-01,Pallite_48,0,,Yes,
VP North,1-A-14-G-02,Pallite_48,0,,Yes,
VP North,1-A-14-G-03,Pallite_48,0,,Yes,
VP North,1-A-14-G-04,Pallite_48,0,,Yes,
VP North,1-A-15-A-01,Pallite_16,0,,Yes,
VP North,1-A-15-A-02,Pallite_16,0,,Yes,
VP North,1-A-15-A-03,Pallite_16,0,,Yes,
VP North,1-A-15-A-04,Pallite_16,0,,Yes,
VP North,1-A-15-B-01,Pallite_16,0,,Yes,
VP North,1-A-15-B-02,Pallite_16,0,,Yes,
VP North,1-A-15-B-03,Pallite_16,0,,Yes,
VP North,1-A-15-B-04,Pallite_16,0,,Yes,
VP North,1-A-15-C-01,Pallite_16,0,,Yes,
VP North,1-A-15-C-02,Pallite_16,0,,Yes,
VP North,1-A-15-C-03,Pallite_16,0,,Yes,
VP North,1-A-15-C-04,Pallite_16,0,,Yes,
VP North,1-A-15-D-01,Pallite_16,0,,Yes,
VP North,1-A-15-D-02,Pallite_16,0,,Yes,
VP North,1-A-15-D-03,Pallite_16,0,,Yes,
VP North,1-A-15-D-04,Pallite_16,0,,Yes,
VP North,1-A-15-E-01,Pallite_16,0,,Yes,
VP North,1-A-15-E-02,Pallite_16,0,,Yes,
VP North,1-A-15-E-03,Pallite_16,0,,Yes,
VP North,1-A-15-E-04,Pallite_16,0,,Yes,
VP North,1-A-15-F-01,Pallite_16,0,,Yes,
VP North,1-A-15-F-02,Pallite_16,0,,Yes,
VP North,1-A-15-F-03,Pallite_16,0,,Yes,
VP North,1-A-15-F-04,Pallite_16,0,,Yes,
VP North,1-A-15-G-01,Pallite_16,0,,Yes,
VP North,1-A-15-G-02,Pallite_16,0,,Yes,
VP North,1-A-15-G-03,Pallite_16,0,,Yes,
VP North,1-A-15-G-04,Pallite_16,0,,Yes,
VP North,1-A-16-A-01,Pallite_48,0,,Yes,
VP North,1-A-16-A-02,Pallite_48,0,,Yes,
VP North,1-A-16-A-03,Pallite_48,0,,Yes,
VP North,1-A-16-A-04,Pallite_48,0,,Yes,
VP North,1-A-16-B-01,Pallite_48,0,,Yes,
VP North,1-A-16-B-02,Pallite_48,0,,Yes,
VP North,1-A-16-B-03,Pallite_48,0,,Yes,
VP North,1-A-16-B-04,Pallite_48,0,,Yes,
VP North,1-A-16-C-01,Pallite_48,0,,Yes,
VP North,1-A-16-C-02,Pallite_48,0,,Yes,
VP North,1-A-16-C-03,Pallite_48,0,,Yes,
VP North,1-A-16-C-04,Pallite_48,0,,Yes,
VP North,1-A-16-D-01,Pallite_48,0,,Yes,
VP North,1-A-16-D-02,Pallite_48,0,,Yes,
VP North,1-A-16-D-03,Pallite_48,0,,Yes,
VP North,1-A-16-D-04,Pallite_48,0,,Yes,
VP North,1-A-16-E-01,Pallite_48,0,,Yes,
VP North,1-A-16-E-02,Pallite_48,0,,Yes,
VP North,1-A-16-E-03,Pallite_48,0,,Yes,
VP North,1-A-16-E-04,Pallite_48,0,,Yes,
VP North,1-A-16-F-01,Pallite_48,0,,Yes,
VP North,1-A-16-F-02,Pallite_48,0,,Yes,
VP North,1-A-16-F-03,Pallite_48,0,,Yes,
VP North,1-A-16-F-04,Pallite_48,0,,Yes,
VP North,1-A-16-G-01,Pallite_48,0,,Yes,
VP North,1-A-16-G-02,Pallite_48,0,,Yes,
VP North,1-A-16-G-03,Pallite_48,0,,Yes,
VP North,1-A-16-G-04,Pallite_48,0,,Yes,
VP North,1-A-17-A-01,Pallite_16,0,,Yes,
VP North,1-A-17-A-02,Pallite_16,0,,Yes,
VP North,1-A-17-A-03,Pallite_16,0,,Yes,
VP North,1-A-17-A-04,Pallite_16,0,,Yes,
VP North,1-A-17-B-01,Pallite_16,0,,Yes,
VP North,1-A-17-B-02,Pallite_16,0,,Yes,
VP North,1-A-17-B-03,Pallite_16,0,,Yes,
VP North,1-A-17-B-04,Pallite_16,0,,Yes,
VP North,1-A-17-C-01,Pallite_16,0,,Yes,
VP North,1-A-17-C-02,Pallite_16,0,,Yes,
VP North,1-A-17-C-03,Pallite_16,0,,Yes,
VP North,1-A-17-C-04,Pallite_16,0,,Yes,
VP North,1-A-17-D-01,Pallite_16,0,,Yes,
VP North,1-A-17-D-02,Pallite_16,0,,Yes,
VP North,1-A-17-D-03,Pallite_16,0,,Yes,
VP North,1-A-17-D-04,Pallite_16,0,,Yes,
VP North,1-A-17-E-01,Pallite_16,0,,Yes,
VP North,1-A-17-E-02,Pallite_16,0,,Yes,
VP North,1-A-17-E-03,Pallite_16,0,,Yes,
VP North,1-A-17-E-04,Pallite_16,0,,Yes,
VP North,1-A-17-F-01,Pallite_16,0,,Yes,
VP North,1-A-17-F-02,Pallite_16,0,,Yes,
VP North,1-A-17-F-03,Pallite_16,0,,Yes,
VP North,1-A-17-F-04,Pallite_16,0,,Yes,
VP North,1-A-17-G-01,Pallite_16,0,,Yes,
VP North,1-A-17-G-02,Pallite_16,0,,Yes,
VP North,1-A-17-G-03,Pallite_16,0,,Yes,
VP North,1-A-17-G-04,Pallite_16,0,,Yes,
VP North,1-A-18-A-01,Pallite_48,0,,Yes,
VP North,1-A-18-A-02,Pallite_48,0,,Yes,
VP North,1-A-18-A-03,Pallite_48,0,,Yes,
VP North,1-A-18-A-04,Pallite_48,0,,Yes,
